konsiltan	k-on-s-i-l-t-an
depotwa	d-e-p-o-t-w-a
sosyopwofesyonèl	s-o-s-y-o-p-w-o-f-e-s-y-o-n-è-l
vejetal	v-e-j-e-t-a-l
repibliye	r-e-p-i-b-l-i-y-e
mason	m-a-s-on
akt	a-k-t
ewopeyèn	e-w-o-p-e-y-è-n
Azèbayidjan	A-z-è-b-a-y-i-d-j-an
teworis	t-e-w-o-r-i-s
dividal	d-i-v-i-d-a-l
evite	e-v-i-t-e
abòde	a-b-ò-d-e
Iram	I-r-a-m
pisans	p-i-s-an-s
lèzòd	l-è-z-ò-d
vantilatè	v-an-t-i-l-a-t-è
bayè	b-a-y-è
repondè	r-e-p-on-d-è
pati	p-a-t-i
tizonnen	t-i-z-on-n-en
jòf	j-ò-f
teritwa	t-e-r-i-t-w-a
Touwon	T-ou-w-on
lavil	l-a-v-i-l
latant	l-a-t-an-t
Tanis	T-a-n-i-s
bawometrik	b-a-w-o-m-e-t-r-i-k
voye	v-o-y-e
epanouyi	e-p-a-n-ou-y-i
konpayon	k-on-p-a-y-on
dodomeya	d-o-d-o-m-e-y-a
sèzyèm	s-è-z-y-è-m
chantè	ch-an-t-è
frizbi	f-r-i-z-b-i
madjigridji	m-a-d-j-i-g-r-i-d-j-i
ranstay	r-an-s-t-a-y
boutèy	b-ou-t-è-y
konkòdans	k-on-k-ò-d-an-s
rezide	r-e-z-i-d-e
ranpli	r-an-p-l-i
kwense	k-w-en-s-e
sove	s-o-v-e
avanti	a-v-an-t-i
similasyon	s-i-m-i-l-a-s-y-on
madigriji	m-a-d-i-g-r-i-j-i
espò	e-s-p-ò
figi	f-i-g-i
pwatik	p-w-a-t-i-k
flanm	f-l-an-m
monpè	m-on-p-è
krezi	k-r-e-z-i
gadyen	g-a-d-y-en
matlòt	m-a-t-l-ò-t
ekselans	e-k-s-e-l-an-s
kritè	k-r-i-t-è
jèm	j-è-m
klouwe	k-l-ou-w-e
diskou	d-i-s-k-ou
Sannfransisko	S-an-n-f-r-an-s-i-s-k-o
kras	k-r-a-s
Ewòl	E-w-ò-l
idyo	i-d-y-o
prensip	p-r-en-s-i-p
sayo	s-a-y-o
tcheke	t-ch-e-k-e
opak	o-p-a-k
jòb	j-ò-b
Pòtigal	P-ò-t-i-g-a-l
debòdman	d-e-b-ò-d-m-an
kou	k-ou
antoulèka	an-t-ou-l-è-k-a
pikliz	p-i-k-l-i-z
kredib	k-r-e-d-i-b
jina	j-i-n-a
seksi	s-e-k-s-i
gan	g-an
padon	p-a-d-on
egzòstif	e-g-z-ò-s-t-i-f
depatmantal	d-e-p-a-t-m-an-t-a-l
Monal	M-o-n-a-l
estimilasyon	e-s-t-i-m-i-l-a-s-y-on
abese	a-b-e-s-e
vaskilè	v-a-s-k-i-l-è
estipid	e-s-t-i-p-i-d
lokomosyon	l-o-k-o-m-o-s-y-on
omeli	o-m-e-l-i
semenn	s-e-m-en-n
koulye	k-ou-l-y-e
enkyete	en-k-y-e-t-e
Tanya	T-a-n-y-a
kokenn	k-o-k-en-n
fizi	f-i-z-i
bouton	b-ou-t-on
sanz	s-an-z
aprèmidi	a-p-r-è-m-i-d-i
parizyèn	p-a-r-i-z-y-è-n
Annan	An-n-an
lanjelis	l-an-j-e-l-i-s
sibtil	s-i-b-t-i-l
imilye	i-m-i-l-y-e
patou	p-a-t-ou
sedonim	s-e-d-o-n-i-m
